run_id,run_index,interference_level,t_start_s,t_end_s,packets,delivered,dropped,loss_rate,delayed,avg_delay_s,avg_strength,avg_distance_m,min_distance_m,avg_x_m,avg_y_m,avg_z_m,avg_speed_m_s,pos_valid_frac,avg_satellites,avg_rssi,queue_max,random_drops,throttle_drops,burst_drops,blackout_drops
run_011,11,0.2041,0.00,5.00,580,571,9,0.0155,567,0.0351,0.2910,55.8872,55.8762,-0.0056,0.0435,0.0105,0.0185,0.9931,10.00,,38,9,0,0,0
run_011,11,0.2041,5.00,10.00,569,559,10,0.0176,559,0.0343,0.2930,55.8815,55.8763,-0.0074,0.0601,-0.0153,0.1053,1.0000,10.00,,26,10,0,0,0
run_011,11,0.2041,10.00,15.00,568,558,10,0.0176,558,0.0353,0.2931,55.8715,55.8687,-0.0097,0.0869,-5.3779,1.8715,1.0000,10.00,,26,10,0,0,0
run_011,11,0.2041,15.00,20.00,579,530,49,0.0846,530,0.0353,0.3183,53.4404,43.9771,1.9301,1.6658,-9.9561,2.4512,1.0000,10.00,,27,18,0,31,0
run_011,11,0.2041,20.00,25.00,579,336,243,0.4197,336,0.0385,0.5589,32.2358,28.0168,19.1936,15.6990,-9.9866,3.4707,1.0000,10.00,,27,19,224,0,0
run_011,11,0.2041,25.00,30.00,589,281,308,0.5229,281,0.0379,0.6575,24.4458,14.5670,26.0263,21.3050,-9.9926,3.5320,1.0000,10.00,,14,28,280,0,0
run_011,11,0.2041,30.00,35.00,586,250,336,0.5734,250,0.0427,0.8149,12.7539,12.2186,43.1090,35.2167,-9.9867,2.3706,1.0000,10.00,,14,46,250,40,0
run_011,11,0.2041,35.00,40.00,578,256,322,0.5571,256,0.0467,0.8597,9.6041,5.3931,51.9014,30.5026,-9.9949,4.8310,1.0000,10.00,,15,36,256,30,0
run_011,11,0.2041,40.00,45.00,582,256,326,0.5601,256,0.0402,0.7427,17.9899,13.8396,66.6676,18.2401,-9.9906,1.0401,1.0000,10.00,,14,30,257,39,0
run_011,11,0.2041,45.00,50.00,587,383,204,0.3475,383,0.0443,0.5787,30.8229,18.7580,76.8795,10.0004,-9.9880,5.3362,1.0000,10.00,,26,19,185,0,0
run_011,11,0.2041,50.00,55.00,581,566,15,0.0258,566,0.0455,0.3818,47.3818,45.0768,89.8583,-0.6189,-9.9897,1.5701,1.0000,10.00,,27,15,0,0,0
run_011,11,0.2041,55.00,60.00,585,577,8,0.0137,577,0.0235,0.1933,67.0054,52.8465,105.1433,-13.0595,-9.9870,4.7104,1.0000,10.00,,27,8,0,0,0
run_011,11,0.2041,60.00,65.00,590,585,5,0.0085,585,0.0147,0.1225,75.3310,75.2292,111.6151,-18.3399,-11.0010,0.8217,1.0000,10.00,,27,5,0,0,0
run_011,11,0.2041,65.00,70.00,578,572,6,0.0104,572,0.0198,0.1616,70.5262,59.6110,106.2254,-17.4868,-14.8807,3.8757,1.0000,10.00,,27,6,0,0,0
run_011,11,0.2041,70.00,75.00,576,460,116,0.2014,460,0.0407,0.4341,42.9609,32.8032,69.5219,-11.5046,-14.9919,9.6628,1.0000,10.00,,27,21,95,0,0
run_011,11,0.2041,75.00,80.00,575,461,114,0.1983,461,0.0421,0.4496,41.5052,32.7745,22.0049,-3.6276,-14.9942,8.5606,1.0000,10.00,,27,15,99,0,0
run_011,11,0.2041,80.00,85.00,576,565,11,0.0191,565,0.0355,0.2927,55.9154,52.9995,-0.0505,0.0757,-14.9894,0.8189,1.0000,10.00,,27,11,0,0,0
run_011,11,0.2041,85.00,90.00,567,549,18,0.0317,549,0.0343,0.2920,55.9822,55.8952,-0.1032,0.0266,-14.7946,0.3639,1.0000,10.00,,27,8,0,10,0
run_011,11,0.2041,90.00,95.00,559,551,8,0.0143,551,0.0355,0.2928,55.9100,55.8782,-0.0140,0.0095,-10.6220,0.8522,1.0000,10.00,,26,8,0,0,0
run_011,11,0.2041,95.00,100.00,555,539,16,0.0288,539,0.0347,0.2928,55.9021,55.8722,-0.0025,0.0042,-7.8015,0.5017,1.0000,10.00,,26,9,0,7,0
run_011,11,0.2041,100.00,105.00,556,546,10,0.0180,546,0.0354,0.2929,55.8990,55.8691,0.0008,0.0045,-5.2961,0.5007,1.0000,10.00,,26,10,0,0,0
run_011,11,0.2041,105.00,110.00,555,543,12,0.0216,543,0.0349,0.2929,55.8997,55.8729,0.0001,0.0043,-2.7973,0.4979,1.0000,10.00,,26,12,0,0,0
run_011,11,0.2041,110.00,115.00,560,546,14,0.0250,546,0.0351,0.2929,55.8995,55.8728,0.0001,0.0045,-0.4641,0.3294,1.0000,10.00,,26,14,0,0,0
run_011,11,0.2041,115.00,120.00,86,86,0,0.0000,86,0.0359,0.2929,55.8995,55.8757,-0.0002,0.0053,0.0228,0.0126,1.0000,10.00,,26,0,0,0,0
