run_id,run_index,interference_level,t_start_s,t_end_s,packets,delivered,dropped,loss_rate,delayed,avg_delay_s,avg_strength,avg_distance_m,min_distance_m,avg_x_m,avg_y_m,avg_z_m,avg_speed_m_s,pos_valid_frac,avg_satellites,avg_rssi,queue_max,random_drops,throttle_drops,burst_drops,blackout_drops
run_020,20,0.3878,0.00,5.00,574,551,23,0.0401,548,0.0649,0.2915,55.8786,55.8644,-0.0060,0.0637,0.0065,0.0203,0.9948,10.00,,40,23,0,0,0
run_020,20,0.3878,5.00,10.00,575,551,24,0.0417,551,0.0659,0.2932,55.8666,55.8645,-0.0088,0.0963,-0.0297,0.1446,1.0000,10.00,,28,24,0,0,0
run_020,20,0.3878,10.00,15.00,565,533,32,0.0566,533,0.0647,0.2932,55.8698,55.8574,-0.0074,0.0863,-5.5929,1.8294,1.0000,10.00,,26,21,0,11,0
run_020,20,0.3878,15.00,20.00,577,495,82,0.1421,495,0.0652,0.3233,52.9720,43.7384,2.3007,1.9805,-9.9647,2.7209,1.0000,10.00,,28,20,0,62,0
run_020,20,0.3878,20.00,25.00,587,315,272,0.4634,315,0.0677,0.5655,31.6854,28.0029,19.6350,16.1239,-9.9826,3.2419,1.0000,10.00,,28,39,233,0,0
run_020,20,0.3878,25.00,30.00,592,252,340,0.5743,252,0.0689,0.6982,21.4024,12.4261,29.2967,23.9956,-9.9953,4.7396,1.0000,10.00,,15,57,253,30,0
run_020,20,0.3878,30.00,35.00,581,220,361,0.6213,220,0.0710,0.8171,12.5981,12.2190,44.3609,36.1979,-9.9890,1.1436,1.0000,10.00,,15,52,220,89,0
run_020,20,0.3878,35.00,40.00,588,216,372,0.6327,216,0.0718,0.8541,10.0092,5.3453,54.7582,28.1839,-9.9942,5.4200,1.0000,10.00,,17,59,215,98,0
run_020,20,0.3878,40.00,45.00,581,241,340,0.5852,241,0.0704,0.7327,18.7297,16.7754,67.2881,17.7980,-9.9872,1.1453,1.0000,10.00,,14,47,241,52,0
run_020,20,0.3878,45.00,50.00,588,425,163,0.2772,425,0.0805,0.5097,36.4598,22.4252,81.3396,6.4181,-9.9912,5.0920,1.0000,10.00,,27,39,124,0,0
run_020,20,0.3878,50.00,55.00,585,562,23,0.0393,562,0.0814,0.3605,49.4137,46.6541,91.4740,-1.8606,-9.9877,2.6132,1.0000,10.00,,28,23,0,0,0
run_020,20,0.3878,55.00,60.00,582,544,38,0.0653,544,0.0336,0.1533,71.5582,60.3868,108.6568,-15.9850,-9.9927,3.1803,1.0000,10.00,,27,13,0,25,0
run_020,20,0.3878,60.00,65.00,575,566,9,0.0157,566,0.0279,0.1235,75.2000,74.8849,111.4813,-18.3022,-12.1813,1.0333,1.0000,10.00,,27,9,0,0,0
run_020,20,0.3878,65.00,70.00,576,566,10,0.0174,566,0.0476,0.2062,65.4984,50.8709,100.4325,-16.5322,-14.9868,5.8726,1.0000,10.00,,27,10,0,0,0
run_020,20,0.3878,70.00,75.00,575,357,218,0.3791,357,0.0686,0.4918,37.8131,32.6584,57.9796,-9.5216,-14.9917,9.8321,1.0000,10.00,,27,42,157,19,0
run_020,20,0.3878,75.00,80.00,576,514,62,0.1076,514,0.0804,0.3923,46.6272,34.2335,12.8063,-2.0052,-14.9935,6.8068,1.0000,10.00,,29,26,29,7,0
run_020,20,0.3878,80.00,85.00,575,534,41,0.0713,534,0.0636,0.2901,56.1781,55.7468,-0.3931,0.1706,-14.9939,0.2116,1.0000,10.00,,29,17,0,24,0
run_020,20,0.3878,85.00,90.00,566,543,23,0.0406,543,0.0655,0.2926,55.9304,55.8602,-0.0636,0.0633,-14.1622,0.7085,1.0000,10.00,,27,23,0,0,0
run_020,20,0.3878,90.00,95.00,555,514,41,0.0739,514,0.0649,0.2930,55.8873,55.8455,-0.0122,0.0567,-9.7328,0.6077,1.0000,10.00,,28,18,0,23,0
run_020,20,0.3878,95.00,100.00,556,530,26,0.0468,530,0.0653,0.2930,55.8852,55.8441,-0.0068,0.0505,-7.1971,0.5014,1.0000,10.00,,27,13,0,13,0
run_020,20,0.3878,100.00,105.00,555,521,34,0.0613,521,0.0637,0.2931,55.8799,55.8439,-0.0002,0.0492,-4.6962,0.4993,1.0000,10.00,,27,20,0,14,0
run_020,20,0.3878,105.00,110.00,556,522,34,0.0612,522,0.0638,0.2931,55.8802,55.8446,-0.0006,0.0492,-2.1936,0.4994,1.0000,10.00,,27,20,0,14,0
run_020,20,0.3878,110.00,115.00,561,542,19,0.0339,542,0.0667,0.2930,55.8816,55.8475,-0.0020,0.0491,-0.1598,0.2157,1.0000,10.00,,28,19,0,0,0
run_020,20,0.3878,115.00,120.00,56,55,1,0.0179,55,0.0649,0.2930,55.8832,55.8573,-0.0031,0.0475,0.0142,0.0205,1.0000,10.00,,26,1,0,0,0
