run_id,run_index,interference_level,t_start_s,t_end_s,packets,delivered,dropped,loss_rate,delayed,avg_delay_s,avg_strength,avg_distance_m,min_distance_m,avg_x_m,avg_y_m,avg_z_m,avg_speed_m_s,pos_valid_frac,avg_satellites,avg_rssi,queue_max,random_drops,throttle_drops,burst_drops,blackout_drops
run_021,21,0.4082,0.00,5.00,573,551,22,0.0384,547,0.0672,0.2911,55.8735,55.8564,-0.0059,0.0748,0.0072,0.0210,0.9930,10.00,,37,22,0,0,0
run_021,21,0.4082,5.00,10.00,574,538,36,0.0627,538,0.0676,0.2933,55.8592,55.8566,-0.0088,0.1129,-0.0096,0.0917,1.0000,10.00,,28,25,0,11,0
run_021,21,0.4082,10.00,15.00,558,542,16,0.0287,542,0.0692,0.2930,55.8836,55.8475,-0.0033,0.0473,-5.3473,1.8684,1.0000,10.00,,28,16,0,0,0
run_021,21,0.4082,15.00,20.00,575,553,22,0.0383,553,0.0733,0.3169,53.5747,45.1232,1.8158,1.5930,-9.9599,2.3581,1.0000,10.00,,27,22,0,0,0
run_021,21,0.4082,20.00,25.00,582,297,285,0.4897,297,0.0678,0.5562,32.4640,28.0027,18.9945,15.5798,-9.9837,3.5829,1.0000,10.00,,27,44,192,49,0
run_021,21,0.4082,25.00,30.00,587,220,367,0.6252,220,0.0605,0.6761,23.0535,13.2943,27.4526,22.5366,-9.9927,4.1948,1.0000,10.00,,14,44,220,103,0
run_021,21,0.4082,30.00,35.00,586,242,344,0.5870,242,0.0825,0.8160,12.6787,12.2183,43.8213,35.8496,-9.9846,1.6983,1.0000,10.00,,17,56,241,47,0
run_021,21,0.4082,35.00,40.00,585,228,357,0.6103,228,0.0818,0.8590,9.6555,5.4025,51.9764,30.4402,-9.9968,4.8913,1.0000,10.00,,20,72,228,57,0
run_021,21,0.4082,40.00,45.00,580,231,349,0.6017,231,0.0719,0.7416,18.0735,14.0321,66.7412,18.1984,-9.9875,1.1848,1.0000,10.00,,15,66,231,52,0
run_021,21,0.4082,45.00,50.00,587,351,236,0.4020,351,0.0748,0.5530,32.9099,19.5650,78.5548,8.7151,-9.9922,5.4145,1.0000,10.00,,28,40,140,56,0
run_021,21,0.4082,50.00,55.00,580,529,51,0.0879,529,0.0841,0.3746,48.0602,46.0903,90.3929,-1.0409,-9.9896,1.8719,1.0000,10.00,,28,31,0,20,0
run_021,21,0.4082,55.00,60.00,578,563,15,0.0260,563,0.0416,0.1746,69.0941,54.2478,106.7405,-14.4232,-9.9959,4.1701,1.0000,10.00,,29,10,0,5,0
run_021,21,0.4082,60.00,65.00,577,570,7,0.0121,570,0.0299,0.1232,75.2361,75.1888,111.5111,-18.3226,-11.4416,0.9154,1.0000,10.00,,27,7,0,0,0
run_021,21,0.4082,65.00,70.00,575,538,37,0.0643,538,0.0400,0.1756,68.9160,56.5098,104.3961,-17.1796,-14.9621,4.5648,1.0000,10.00,,28,10,0,27,0
run_021,21,0.4082,70.00,75.00,576,426,150,0.2604,426,0.0776,0.4579,40.8139,32.6804,65.4030,-10.7859,-14.9929,9.7590,1.0000,10.00,,28,31,109,10,0
run_021,21,0.4082,75.00,80.00,575,470,105,0.1826,470,0.0835,0.4295,43.2942,32.7905,18.4822,-2.9921,-14.9942,8.0191,1.0000,10.00,,29,34,71,0,0
run_021,21,0.4082,80.00,85.00,576,552,24,0.0417,552,0.0689,0.2911,56.0795,54.2895,-0.2659,0.1368,-14.9905,0.5148,1.0000,10.00,,29,24,0,0,0
run_021,21,0.4082,85.00,90.00,568,543,25,0.0440,543,0.0675,0.2922,55.9614,55.8690,-0.0842,0.0351,-14.6239,0.4897,1.0000,10.00,,27,25,0,0,0
run_021,21,0.4082,90.00,95.00,556,511,45,0.0809,511,0.0658,0.2928,55.9014,55.8556,-0.0123,0.0252,-10.2617,0.7580,1.0000,10.00,,28,26,0,19,0
run_021,21,0.4082,95.00,100.00,555,524,31,0.0559,524,0.0686,0.2929,55.8936,55.8491,-0.0018,0.0218,-7.5876,0.5013,1.0000,10.00,,28,31,0,0,0
run_021,21,0.4082,100.00,105.00,556,534,22,0.0396,534,0.0682,0.2929,55.8935,55.8491,0.0006,0.0171,-5.0830,0.4979,1.0000,10.00,,27,22,0,0,0
run_021,21,0.4082,105.00,110.00,555,536,19,0.0342,536,0.0687,0.2929,55.8937,55.8515,0.0002,0.0177,-2.5833,0.4954,1.0000,10.00,,27,19,0,0,0
run_021,21,0.4082,110.00,115.00,562,548,14,0.0249,548,0.0695,0.2929,55.8937,55.8521,0.0001,0.0178,-0.3459,0.2878,1.0000,10.00,,28,14,0,0,0
run_021,21,0.4082,115.00,120.00,84,78,6,0.0714,78,0.0666,0.2929,55.8943,55.8555,-0.0003,0.0171,0.0045,0.0126,1.0000,10.00,,25,6,0,0,0
