run_id,run_index,interference_level,t_start_s,t_end_s,packets,delivered,dropped,loss_rate,delayed,avg_delay_s,avg_strength,avg_distance_m,min_distance_m,avg_x_m,avg_y_m,avg_z_m,avg_speed_m_s,pos_valid_frac,avg_satellites,avg_rssi,queue_max,random_drops,throttle_drops,burst_drops,blackout_drops
run_003,3,0.0408,0.00,5.00,576,574,2,0.0035,571,0.0071,0.2912,55.9108,55.9017,-0.0007,-0.0189,0.0030,0.0163,0.9948,10.00,,24,2,0,0,0
run_003,3,0.0408,5.00,10.00,574,572,2,0.0035,572,0.0072,0.2927,55.9151,55.9017,-0.0014,-0.0273,-0.0359,0.1305,1.0000,10.00,,21,2,0,0,0
run_003,3,0.0408,10.00,15.00,558,557,1,0.0018,557,0.0071,0.2927,55.9167,55.9058,-0.0003,-0.0327,-5.6212,1.8420,1.0000,10.00,,25,1,0,0,0
run_003,3,0.0408,15.00,20.00,577,575,2,0.0035,575,0.0078,0.3197,53.3116,43.2845,2.0778,1.6585,-9.9730,2.5682,1.0000,10.00,,22,2,0,0,0
run_003,3,0.0408,20.00,25.00,580,573,7,0.0121,573,0.0135,0.5608,32.0798,28.0047,19.3423,15.7372,-10.0025,3.4183,1.0000,10.00,,25,7,0,0,0
run_003,3,0.0408,25.00,30.00,589,583,6,0.0102,583,0.0166,0.6920,21.8603,12.4913,28.7454,23.3811,-10.0054,4.5777,1.0000,10.00,,25,6,0,0,0
run_003,3,0.0408,30.00,35.00,586,579,7,0.0119,579,0.0198,0.8192,12.4515,11.0329,44.3488,35.9911,-9.9981,1.6286,1.0000,10.00,,25,7,0,0,0
run_003,3,0.0408,35.00,40.00,581,567,14,0.0241,567,0.0202,0.8448,10.6803,5.3581,57.1787,26.1091,-9.9962,5.3202,1.0000,10.00,,26,11,0,3,0
run_003,3,0.0408,40.00,45.00,584,581,3,0.0051,581,0.0172,0.7090,20.5162,18.1761,68.6961,16.5833,-9.9999,2.2475,1.0000,10.00,,27,3,0,0,0
run_003,3,0.0408,45.00,50.00,585,563,22,0.0376,563,0.0103,0.4443,41.9083,29.5355,85.5541,2.8273,-9.9983,3.7383,1.0000,10.00,,25,2,0,20,0
run_003,3,0.0408,50.00,55.00,580,576,4,0.0069,576,0.0076,0.3151,53.9728,46.6915,94.9558,-4.8590,-10.0013,4.3827,1.0000,10.00,,24,4,0,0,0
run_003,3,0.0408,55.00,60.00,579,578,1,0.0017,578,0.0032,0.1299,74.3787,68.2314,110.8279,-17.8035,-10.0206,1.4643,1.0000,10.00,,15,1,0,0,0
run_003,3,0.0408,60.00,65.00,576,574,2,0.0035,574,0.0031,0.1261,74.8521,72.6032,111.0659,-18.2860,-13.4417,1.5152,1.0000,10.00,,19,2,0,0,0
run_003,3,0.0408,65.00,70.00,575,574,1,0.0017,574,0.0067,0.2740,58.3445,42.2136,91.7551,-15.1528,-14.9848,7.7790,1.0000,10.00,,21,1,0,0,0
run_003,3,0.0408,70.00,75.00,576,575,1,0.0017,575,0.0126,0.5158,35.7122,32.7988,45.4730,-7.5011,-14.9931,9.8807,1.0000,10.00,,26,1,0,0,0
run_003,3,0.0408,75.00,80.00,575,570,5,0.0087,570,0.0084,0.3391,51.4939,40.0024,5.7084,-0.8774,-14.9919,4.4102,1.0000,10.00,,27,5,0,0,0
run_003,3,0.0408,80.00,85.00,576,576,0,0.0000,576,0.0071,0.2906,56.1243,55.9610,-0.2923,0.0880,-14.9961,0.1035,1.0000,10.00,,22,0,0,0,0
run_003,3,0.0408,85.00,90.00,560,560,0,0.0000,560,0.0072,0.2926,55.9276,55.8995,-0.0398,0.0218,-13.0739,0.9349,1.0000,10.00,,21,0,0,0,0
run_003,3,0.0408,90.00,95.00,555,554,1,0.0018,554,0.0072,0.2928,55.9028,55.8995,-0.0100,0.0175,-9.0702,0.4932,1.0000,10.00,,26,1,0,0,0
run_003,3,0.0408,95.00,100.00,555,552,3,0.0054,552,0.0071,0.2929,55.8974,55.8895,-0.0040,0.0176,-6.5694,0.5014,1.0000,10.00,,25,3,0,0,0
run_003,3,0.0408,100.00,105.00,556,553,3,0.0054,553,0.0071,0.2929,55.8963,55.8895,-0.0003,0.0128,-4.0658,0.4998,1.0000,10.00,,22,3,0,0,0
run_003,3,0.0408,105.00,110.00,555,555,0,0.0000,555,0.0072,0.2929,55.8946,55.8895,-0.0010,0.0178,-1.5656,0.4964,1.0000,10.00,,25,0,0,0,0
run_003,3,0.0408,110.00,115.00,424,422,2,0.0047,422,0.0071,0.2929,55.8939,55.8895,0.0000,0.0175,-0.0154,0.1209,1.0000,10.00,,24,2,0,0,0
