run_id,run_index,interference_level,t_start_s,t_end_s,packets,delivered,dropped,loss_rate,delayed,avg_delay_s,avg_strength,avg_distance_m,min_distance_m,avg_x_m,avg_y_m,avg_z_m,avg_speed_m_s,pos_valid_frac,avg_satellites,avg_rssi,queue_max,random_drops,throttle_drops,burst_drops,blackout_drops
run_013,13,0.2449,0.00,5.00,577,565,12,0.0208,562,0.0417,0.2914,55.8911,55.8830,-0.0005,0.0248,0.0064,0.0202,0.9948,10.00,,43,12,0,0,0
run_013,13,0.2449,5.00,10.00,574,560,14,0.0244,560,0.0421,0.2930,55.8838,55.8827,-0.0012,0.0424,-0.0457,0.1604,1.0000,10.00,,29,14,0,0,0
run_013,13,0.2449,10.00,15.00,568,541,27,0.0475,541,0.0410,0.2930,55.8904,55.8858,-0.0006,0.0265,-5.7800,1.8383,1.0000,10.00,,26,13,0,14,0
run_013,13,0.2449,15.00,20.00,580,568,12,0.0207,568,0.0460,0.3232,52.9789,43.2711,2.3237,1.9171,-9.9622,2.7498,1.0000,10.00,,27,12,0,0,0
run_013,13,0.2449,20.00,25.00,586,321,265,0.4522,321,0.0445,0.5663,31.6210,27.9935,19.7077,16.0974,-9.9925,3.2161,1.0000,10.00,,26,29,236,0,0
run_013,13,0.2449,25.00,30.00,589,275,314,0.5331,275,0.0469,0.6889,22.0939,12.6612,28.4961,23.2446,-9.9957,4.5049,1.0000,10.00,,14,29,275,10,0
run_013,13,0.2449,30.00,35.00,582,251,331,0.5687,251,0.0530,0.8185,12.4959,10.9872,44.2612,35.9677,-9.9911,1.7001,1.0000,10.00,,14,37,250,44,0
run_013,13,0.2449,35.00,40.00,586,255,331,0.5648,255,0.0548,0.8444,10.7076,5.3735,57.2761,26.1140,-9.9865,5.3635,1.0000,10.00,,14,47,255,29,0
run_013,13,0.2449,40.00,45.00,589,252,337,0.5722,252,0.0456,0.7259,19.2382,18.2487,67.6978,17.4663,-9.9912,1.2752,1.0000,10.00,,15,36,252,49,0
run_013,13,0.2449,45.00,50.00,576,445,131,0.2274,445,0.0516,0.4808,38.8540,24.8377,83.1508,4.7671,-9.9919,4.5365,1.0000,10.00,,28,18,98,15,0
run_013,13,0.2449,50.00,55.00,584,540,44,0.0753,540,0.0459,0.3409,51.3391,46.7057,92.9266,-3.1553,-9.9921,3.5746,1.0000,10.00,,27,16,0,28,0
run_013,13,0.2449,55.00,60.00,587,581,6,0.0102,581,0.0201,0.1390,73.2590,65.4915,109.9940,-17.0422,-9.9877,2.3159,1.0000,10.00,,26,6,0,0,0
run_013,13,0.2449,60.00,65.00,577,570,7,0.0121,570,0.0178,0.1237,75.1710,74.3022,111.4015,-18.3649,-12.7119,1.1629,1.0000,10.00,,27,7,0,0,0
run_013,13,0.2449,65.00,70.00,575,562,13,0.0226,562,0.0331,0.2321,62.7130,47.0689,97.0852,-16.0430,-14.9831,6.7525,1.0000,10.00,,27,13,0,0,0
run_013,13,0.2449,70.00,75.00,576,325,251,0.4358,325,0.0414,0.5062,36.5421,32.8261,52.7076,-8.7475,-14.9930,9.8724,1.0000,10.00,,28,27,184,40,0
run_013,13,0.2449,75.00,80.00,575,555,20,0.0348,555,0.0526,0.3675,48.8825,36.3458,9.4548,-1.5449,-14.9920,5.8453,1.0000,10.00,,28,18,2,0,0
run_013,13,0.2449,80.00,85.00,570,559,11,0.0193,559,0.0413,0.2899,56.1927,55.9852,-0.3686,0.0880,-14.9919,0.1106,1.0000,10.00,,27,11,0,0,0
run_013,13,0.2449,85.00,90.00,561,548,13,0.0232,548,0.0419,0.2925,55.9387,55.8953,-0.0481,0.0136,-13.7981,0.8220,1.0000,10.00,,27,13,0,0,0
run_013,13,0.2449,90.00,95.00,555,532,23,0.0414,532,0.0411,0.2928,55.9056,55.8850,-0.0100,0.0113,-9.4718,0.5262,1.0000,10.00,,26,23,0,0,0
run_013,13,0.2449,95.00,100.00,564,557,7,0.0124,557,0.0425,0.2929,55.8975,55.8793,-0.0019,0.0132,-6.9533,0.5011,1.0000,10.00,,26,7,0,0,0
run_013,13,0.2449,100.00,105.00,556,546,10,0.0180,546,0.0428,0.2929,55.8925,55.8762,-0.0002,0.0210,-4.4299,0.4993,1.0000,10.00,,26,10,0,0,0
run_013,13,0.2449,105.00,110.00,545,537,8,0.0147,537,0.0426,0.2929,55.8916,55.8781,-0.0007,0.0241,-1.9511,0.4976,1.0000,10.00,,26,8,0,0,0
run_013,13,0.2449,110.00,115.00,517,496,21,0.0406,496,0.0410,0.2930,55.8886,55.8745,-0.0005,0.0304,-0.1086,0.1837,1.0000,10.00,,27,21,0,0,0
