run_id,run_index,interference_level,t_start_s,t_end_s,packets,delivered,dropped,loss_rate,delayed,avg_delay_s,avg_strength,avg_distance_m,min_distance_m,avg_x_m,avg_y_m,avg_z_m,avg_speed_m_s,pos_valid_frac,avg_satellites,avg_rssi,queue_max,random_drops,throttle_drops,burst_drops,blackout_drops
run_015,15,0.2857,0.00,5.00,576,560,16,0.0278,556,0.0483,0.2910,55.8836,55.8724,-0.0061,0.0526,0.0079,0.0186,0.9931,10.00,,42,16,0,0,0
run_015,15,0.2857,5.00,10.00,572,550,22,0.0385,550,0.0484,0.2931,55.8761,55.8725,-0.0082,0.0738,-0.0165,0.0986,1.0000,10.00,,29,22,0,0,0
run_015,15,0.2857,10.00,15.00,558,544,14,0.0251,544,0.0491,0.2930,55.8884,55.8623,-0.0029,0.0354,-5.4000,1.8667,1.0000,10.00,,28,14,0,0,0
run_015,15,0.2857,15.00,20.00,575,549,26,0.0452,549,0.0522,0.3168,53.5816,45.1316,1.8201,1.5682,-9.9581,2.3599,1.0000,10.00,,27,26,0,0,0
run_015,15,0.2857,20.00,25.00,588,327,261,0.4439,327,0.0516,0.5563,32.4524,28.0053,19.0047,15.5887,-9.9822,3.6224,1.0000,10.00,,27,18,215,28,0
run_015,15,0.2857,25.00,30.00,587,238,349,0.5945,238,0.0457,0.6746,23.1619,13.2776,27.3302,22.4042,-9.9933,4.1687,1.0000,10.00,,14,26,238,85,0
run_015,15,0.2857,30.00,35.00,588,224,364,0.6190,224,0.0531,0.8165,12.6452,12.2254,43.7849,35.7843,-9.9854,1.7285,1.0000,10.00,,14,44,224,96,0
run_015,15,0.2857,35.00,40.00,579,242,337,0.5820,242,0.0626,0.8611,9.5063,5.3445,50.9641,31.2258,-9.9988,4.6455,1.0000,10.00,,14,52,241,44,0
run_015,15,0.2857,40.00,45.00,580,268,312,0.5379,268,0.0592,0.7465,17.7180,12.6095,66.4363,18.4027,-9.9897,1.2464,1.0000,10.00,,14,44,268,0,0
run_015,15,0.2857,45.00,50.00,585,289,296,0.5060,289,0.0551,0.6575,24.5234,18.2498,71.9239,14.1003,-9.9933,4.2329,1.0000,10.00,,25,35,261,0,0
run_015,15,0.2857,50.00,55.00,580,536,44,0.0759,536,0.0636,0.4034,45.4310,38.3910,88.3310,0.6153,-9.9856,1.8367,1.0000,10.00,,28,20,0,24,0
run_015,15,0.2857,55.00,60.00,585,567,18,0.0308,567,0.0417,0.2524,60.5457,47.4349,100.1424,-8.9246,-9.9918,5.4136,1.0000,10.00,,27,18,0,0,0
run_015,15,0.2857,60.00,65.00,586,579,7,0.0119,579,0.0207,0.1229,75.2832,74.1949,111.5741,-18.3151,-10.2678,0.7033,1.0000,10.00,,27,7,0,0,0
run_015,15,0.2857,65.00,70.00,575,571,4,0.0070,571,0.0233,0.1365,73.5383,67.5531,109.6311,-18.0183,-14.3983,2.3967,1.0000,10.00,,27,4,0,0,0
run_015,15,0.2857,70.00,75.00,576,519,57,0.0990,519,0.0533,0.3531,50.5133,35.6969,81.4522,-13.4454,-14.9879,9.0211,1.0000,10.00,,28,18,24,15,0
run_015,15,0.2857,75.00,80.00,575,390,185,0.3217,390,0.0561,0.4999,37.0976,32.6853,33.5659,-5.4774,-14.9946,9.5678,1.0000,10.00,,28,17,168,0,0
run_015,15,0.2857,80.00,85.00,576,562,14,0.0243,562,0.0511,0.3075,54.4771,47.0082,1.7163,-0.1487,-14.9909,2.3296,1.0000,10.00,,27,14,0,0,0
run_015,15,0.2857,85.00,90.00,572,550,22,0.0385,550,0.0480,0.2916,56.0285,55.8960,-0.1869,0.0911,-14.9901,0.0948,1.0000,10.00,,27,22,0,0,0
run_015,15,0.2857,90.00,95.00,559,543,16,0.0286,543,0.0487,0.2929,55.9004,55.8591,-0.0247,0.0525,-11.8631,1.0220,1.0000,10.00,,26,16,0,0,0
run_015,15,0.2857,95.00,100.00,555,541,14,0.0252,541,0.0487,0.2930,55.8876,55.8552,-0.0096,0.0509,-8.4514,0.5056,1.0000,10.00,,26,14,0,0,0
run_015,15,0.2857,100.00,105.00,556,540,16,0.0288,540,0.0490,0.2930,55.8810,55.8509,-0.0022,0.0508,-5.9461,0.5014,1.0000,10.00,,26,16,0,0,0
run_015,15,0.2857,105.00,110.00,555,528,27,0.0486,528,0.0472,0.2930,55.8814,55.8526,-0.0003,0.0462,-3.4430,0.4995,1.0000,10.00,,26,12,0,15,0
run_015,15,0.2857,110.00,115.00,557,538,19,0.0341,538,0.0483,0.2931,55.8805,55.8528,-0.0008,0.0491,-0.9565,0.4593,1.0000,10.00,,27,19,0,0,0
run_015,15,0.2857,115.00,120.00,200,166,34,0.1700,166,0.0412,0.2931,55.8804,55.8574,-0.0026,0.0528,0.0172,0.0132,1.0000,10.00,,26,5,0,29,0
