1,1777005171.958384,0.012829,2026-04-24T04:32:51.958384+00:00,sitl_to_mission,40,,,,,,,,,,,,,,,,,,,,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,1,0,0,0
28,1777005172.212564,0.267018,2026-04-24T04:32:52.212564+00:00,sitl_to_mission,40,-0.001912,0.024124,0.000037,0.024200,-35.363262,149.165237,0.015000,6,10,0.001454,0.001386,-0.699552,,,,,,,61.852235,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,28,27,0,0
55,1777005172.392360,0.446812,2026-04-24T04:32:52.392360+00:00,sitl_to_mission,21,-0.001867,0.023870,0.000143,0.023943,-35.363262,149.165237,0.015000,6,10,0.001447,0.001386,-0.699528,,,,,,,61.852280,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,55,54,0,0
83,1777005172.709986,0.764434,2026-04-24T04:32:52.709986+00:00,sitl_to_mission,40,-0.001886,0.023839,0.000167,0.023914,-35.363262,149.165237,0.015000,6,10,0.001450,0.001385,-0.699513,,,,,,,61.852292,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,83,82,0,0
110,1777005172.956466,1.010911,2026-04-24T04:32:52.956466+00:00,sitl_to_mission,40,-0.001887,0.023962,0.000169,0.024037,-35.363262,149.165237,0.015000,6,10,0.001450,0.001391,-0.699498,,,,,,,61.852258,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,110,109,0,0
137,1777005173.208503,1.262953,2026-04-24T04:32:53.208503+00:00,sitl_to_mission,40,-0.001871,0.024176,0.000121,0.024249,-35.363262,149.165237,0.015000,6,10,0.001458,0.001395,-0.699485,,,,,,,61.852190,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,137,136,0,0
164,1777005173.391385,1.445838,2026-04-24T04:32:53.391385+00:00,sitl_to_mission,21,-0.001917,0.023915,0.000150,0.023992,-35.363262,149.165237,0.015000,6,10,0.001450,0.001394,-0.699464,,,,,,,61.852243,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,164,163,0,0
192,1777005173.710140,1.764591,2026-04-24T04:32:53.710140+00:00,sitl_to_mission,40,-0.001934,0.023884,0.000151,0.023963,-35.363262,149.165237,0.015000,6,10,0.001447,0.001392,-0.699455,,,,,,,61.852263,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,192,191,0,0
219,1777005173.962594,2.017045,2026-04-24T04:32:53.962594+00:00,sitl_to_mission,40,-0.001946,0.024042,0.000144,0.024121,-35.363262,149.165237,0.015000,6,10,0.001443,0.001393,-0.699443,,,,,,,61.852233,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,219,218,0,0
246,1777005174.212929,2.267379,2026-04-24T04:32:54.212929+00:00,sitl_to_mission,40,-0.001957,0.024061,0.000133,0.024141,-35.363262,149.165237,0.015000,6,10,0.001447,0.001399,-0.699429,,,,,,,61.852230,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,246,245,0,0
273,1777005174.391414,2.445869,2026-04-24T04:32:54.391414+00:00,sitl_to_mission,21,-0.002031,0.023885,0.000116,0.023971,-35.363262,149.165237,0.015000,6,10,0.001444,0.001390,-0.699418,,,,,,,61.852283,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,273,272,0,0
301,1777005174.708572,2.763023,2026-04-24T04:32:54.708572+00:00,sitl_to_mission,40,-0.002074,0.023832,0.000103,0.023922,-35.363262,149.165237,0.015000,6,10,0.001444,0.001395,-0.699404,,,,,,,61.852313,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,301,300,0,0
328,1777005174.837947,2.892399,2026-04-24T04:32:54.837947+00:00,sitl_to_mission,37,-0.002138,0.023942,0.000048,0.024037,-35.363262,149.165237,0.015000,6,10,0.001448,0.001397,-0.699387,,,,,,,61.852310,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,328,327,0,0
356,1777005175.206885,3.261329,2026-04-24T04:32:55.206885+00:00,sitl_to_mission,40,-0.002136,0.024191,0.000020,0.024286,-35.363262,149.165237,0.015000,6,10,0.001457,0.001400,-0.699376,,,,,,,61.852268,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,356,355,0,0
383,1777005175.388832,3.443284,2026-04-24T04:32:55.388832+00:00,sitl_to_mission,21,-0.002138,0.024051,0.000118,0.024147,-35.363262,149.165237,0.015000,6,10,0.001457,0.001399,-0.699368,,,,,,,61.852321,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,383,382,0,0
429,1777005175.596118,3.650570,2026-04-24T04:32:55.596118+00:00,sitl_to_mission,40,0.000000,0.020000,0.000000,0.020000,-35.363262,149.165237,0.015000,6,10,0.001448,0.001392,-0.699356,,,,,,,61.846584,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,429,428,0,11
454,1777005175.751447,3.805895,2026-04-24T04:32:55.751447+00:00,sitl_to_mission,53,-0.001984,0.024270,0.000192,0.024352,-35.363262,149.165237,0.015000,6,10,0.001447,0.001391,-0.699351,,,,,,,61.852238,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,454,453,0,11
485,1777005176.194348,4.248799,2026-04-24T04:32:56.194348+00:00,sitl_to_mission,40,0.000000,0.020000,0.000000,0.020000,-35.363262,149.165237,0.015000,6,10,0.001450,0.001397,-0.699341,,,,,,,61.846584,0.000000,60.000000,15.000000,45.000000,0.000000,1.500000,0.120000,0.100000,0.050000,1,0.005000,2.000000,0,0,0,forward,1,,0.000000,485,484,0,11
