1,0.095224,,,,,,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1,0,0,0
28,0.277361,0.000446,0.023775,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,28,27,0,0
56,0.595668,0.000411,0.023690,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,56,55,0,0
83,0.848092,0.000319,0.023768,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,83,82,0,0
110,1.094720,0.000352,0.024051,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,110,109,0,0
137,1.274624,0.000443,0.023737,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,137,136,0,0
165,1.596642,0.000408,0.023707,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,165,164,0,0
192,1.842567,0.000305,0.023728,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,192,191,0,0
219,2.098780,0.000293,0.023972,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,219,218,0,0
246,2.273597,0.000330,0.023713,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,246,245,0,0
274,2.599393,0.000328,0.023652,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,274,273,0,0
301,2.848085,0.000366,0.023738,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,301,300,0,0
328,3.099845,0.000279,0.023931,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,328,327,0,0
355,3.275533,0.000224,0.023744,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,355,354,0,0
383,3.598102,0.000228,0.023807,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,383,382,0,0
410,3.846269,0.000186,0.023812,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,410,409,0,0
437,4.095589,0.000222,0.024058,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,437,436,0,0
464,4.275739,0.000237,0.024004,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,464,463,0,0
492,4.595788,0.000154,0.023895,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,492,491,0,0
519,4.844870,0.000166,0.023958,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,519,518,0,0
