0.2245,29,0.427745,-0.001855,0.019510,0.002000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.028465,29,28,0,0
0.2245,57,0.731253,-0.001778,0.019492,0.002000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.038379,57,56,0,0
0.2245,85,0.988140,-0.001747,0.019606,0.002000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.035731,85,83,1,0
0.2245,112,1.234695,-0.001648,0.019768,0.003000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.030985,112,110,1,0
0.2245,140,1.428985,-0.001577,0.019624,0.003000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.031736,140,137,2,0
0.2245,168,1.733320,-0.001544,0.019548,0.003000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.050783,168,165,2,0
0.2245,196,1.983887,-0.001518,0.019582,0.004000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.043070,196,191,4,0
0.2245,223,2.230833,-0.001469,0.019770,0.004000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.031039,223,217,5,0
0.2245,251,2.430021,-0.001410,0.019510,0.004000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.052501,251,244,6,0
0.2245,297,2.688129,0.000000,0.010000,0.004000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.027117,297,290,6,11
0.2245,326,2.888615,-0.001243,0.019864,0.004000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,1,1,0.042568,326,318,6,11
0.2245,354,3.231700,-0.001155,0.020029,0.004000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.036890,354,347,6,11
0.2245,382,3.424226,-0.001100,0.020253,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.040482,382,374,7,11
0.2245,410,3.686911,0.000000,0.020000,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.030176,410,402,7,11
0.2245,440,3.984365,-0.000980,0.020869,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.027152,440,431,8,11
0.2245,467,4.230558,-0.000936,0.021120,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.034262,467,457,9,11
0.2245,495,4.427353,-0.000843,0.021432,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.046861,495,484,10,11
0.2245,523,4.667390,-0.000890,0.021744,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.035148,523,510,12,11
0.2245,552,4.888729,0.000000,0.020000,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.047490,552,539,12,11
0.2245,581,5.234429,-0.000803,0.022507,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.026342,581,568,12,11
0.2245,609,5.427427,-0.000803,0.022676,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.037515,609,595,13,11
0.2245,645,5.686231,0.000000,0.020000,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.032907,645,631,13,15
0.2245,674,5.889400,-0.000617,0.023122,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,1,1,0.038961,674,659,13,15
0.2245,702,6.233907,-0.000572,0.023251,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.029195,702,688,13,15
0.2245,730,6.428527,-0.000510,0.023415,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.038936,730,716,13,15
0.2245,758,6.691072,0.000000,0.020000,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.032408,758,744,13,15
0.2245,786,6.890041,0.000000,0.020000,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.026752,786,771,14,15
0.2245,815,7.234069,-0.000424,0.023229,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.034181,815,799,15,15
0.2245,843,7.428317,-0.000380,0.023105,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.049518,843,827,15,15
0.2245,872,7.685639,0.000000,0.020000,0.005000,6,10,0.134690,0.044900,2,0.001796,0.269390,0,0,0,1,0.049324,872,855,16,17
