1,0.029800,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1,0,0,0
2,0.436126,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,2,1,0,0
3,1.029128,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,3,2,0,0
4,1.128088,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,4,3,0,0
5,1.437341,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,5,4,0,0
8,2.028587,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,8,7,0,0
9,2.782549,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,9,8,0,0
11,2.882933,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,11,10,0,0
14,3.130251,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,14,13,0,0
15,4.030096,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,15,14,0,0
16,5.031466,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,16,15,0,0
17,5.132828,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,17,16,0,0
18,6.028632,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,18,17,0,0
19,6.795041,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,19,18,0,0
21,6.994011,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,21,20,0,0
23,7.142097,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,23,22,0,0
24,8.028878,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,24,23,0,0
25,9.033895,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,25,24,0,0
26,9.143523,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,26,25,0,0
27,10.033029,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,27,26,0,0
28,11.033695,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,28,27,0,0
29,11.145112,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,29,28,0,0
30,12.032757,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,30,29,0,0
31,12.354968,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,31,30,0,0
32,12.602659,,,,,,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,32,31,0,0
57,12.854655,-0.010000,0.010000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,57,56,0,0
83,13.106679,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,83,82,0,0
109,13.356828,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,109,108,0,0
134,13.604205,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,134,133,0,0
159,13.855465,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,159,158,0,0
185,14.105845,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,185,184,0,0
210,14.350873,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,210,209,0,0
